Item,Utah_S,Beaver,Box Elder,Cache,Carbon,Daggett,Davis,Duchesne,Emery,Garfield,Grand,Iron,Juab,Kane,Millard,Morgan,Piute,Rich,Salt Lake,San Juan,Sanpete,Sevier,Summit,Tooele,Uintah,Utah,Wasatch,Washington,Wayne,Weber
"number, 2022",(D),-,-,(D),-,-,-,(D),-,-,(D),(D),-,-,-,-,-,-,-,30,(D),(D),-,(D),120,90,-,-,-,(D)
2017,(D),-,-,(D),-,-,-,(D),-,-,-,-,-,-,-,(D),-,-,-,89,-,(D),-,(D),-,57,-,60,-,(D)
"Broilers and other meat-type chickens sold                farms, 2022",132,-,9,15,2,2,7,8,3,-,-,5,-,-,8,-,-,-,2,1,5,5,2,14,8,16,2,7,1,10
2017,79,2,12,2,-,-,4,1,-,-,-,-,-,-,-,5,-,1,2,-,2,9,8,3,9,12,-,2,-,5
"number, 2022","13,691",-,368,443,(D),(D),612,(D),9,-,-,(D),-,-,667,-,-,-,(D),(D),57,240,(D),"1,135",(D),283,(D),"2,378",(D),435
2017,(D),(D),660,(D),-,-,34,(D),-,-,-,-,-,-,-,115,-,(D),(D),-,(D),596,206,(D),"2,216",214,-,(D),-,106
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",131,-,9,15,2,2,7,7,3,-,-,5,-,-,8,-,-,-,2,1,5,5,2,14,8,16,2,7,1,10
"2,000 to 59,999.....................................................................",1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"60,000 to 99,999...................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",87,-,5,1,-,2,6,1,4,1,-,4,1,-,4,-,3,-,2,-,24,1,2,4,10,6,1,2,-,3
2017,106,-,8,2,-,-,10,4,2,2,-,-,1,-,1,3,2,-,2,1,29,2,4,2,9,8,6,2,2,4
"number, 2022","4,820,040",-,162,(D),-,(D),32,(D),9,(D),-,(D),(D),-,(D),-,"150,000",-,(D),-,"4,311,540",(D),(D),12,(D),(D),(D),(D),-,(D)
2017,"6,010,894",-,132,(D),-,-,208,8,(D),(D),-,-,(D),-,(D),36,(D),-,(D),(D),"4,413,537",(D),39,(D),300,82,12,(D),(D),"1,012"
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",160,3,18,12,3,2,5,13,2,-,-,2,3,1,3,-,3,-,5,3,5,8,11,7,10,22,3,1,-,15
2017,169,2,20,16,10,-,6,,,,,,,,-,3,-,-,5,13,6,8,3,8,7,28,-,7,4,10
