Item,Wyoming,Albany,Big Horn,Campbell,Carbon,Converse,Crook,Fremont,Goshen,Hot Springs,Johnson,Laramie,Lincoln,Natrona,Niobrara,Park,Platte,Sheridan,Sublette,Sweetwater,Teton,Uinta,Washakie,Weston
"100,000 to 199,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",35,5,1,2,-,-,-,3,1,-,2,7,3,-,-,6,-,4,-,-,1,-,-,-
2017,46,6,-,6,-,2,-,1,5,4,2,3,7,3,-,6,-,-,-,-,1,-,-,-
"number, 2022",398,33,(D),(D),-,-,-,(D),(D),-,(D),74,12,-,-,90,-,12,-,-,(D),-,-,-
2017,488,6,-,20,-,(D),-,(D),22,4,(D),24,46,51,-,226,-,-,-,-,(D),-,-,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",61,10,5,2,-,1,-,3,5,1,3,8,2,7,-,2,3,1,-,1,3,-,3,1
2017,93,6,10,5,1,5,1,3,9,-,4,9,10,11,-,2,-,3,3,-,-,8,-,3
