Item,Indiana,Adams,Allen,Bartholomew,Benton,Blackford,Boone,Brown,Carroll,Cass,Clark,Clay,Clinton,Crawford,Daviess,Dearborn,Decatur,DeKalb,Delaware,Dubois,Elkhart,Fayette,Floyd,Fountain,Franklin,Fulton,Gibson,Grant,Greene,Hamilton,Hancock,Harrison,Hendricks,Henry,Howard,Huntington,Jackson,Jasper,Jay,Jefferson,Jennings,Johnson,Knox,Kosciusko,LaGrange,Lake,LaPorte,Lawrence,Madison,Marion,Marshall,Martin,Miami,Monroe,Montgomery,Morgan,Newton,Noble,Ohio,Orange,Owen,Parke,Perry,Pike,Porter,Posey,Pulaski,Putnam,Randolph,Ripley,Rush,St. Joseph,Scott,Shelby,Spencer,Starke,Steuben,Sullivan,Switzerland,Tippecanoe,Tipton,Union,Vanderburgh,Vermillion,Vigo,Wabash,Warren,Warrick,Washington,Wayne,Wells,White,Whitley
"10,000 to 19,999...................................................................",35,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,24,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
"20,000 to 49,999...................................................................",109,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,2,-,-,-,-,-,-,-,-,-,6,-,-,4,-,-,-,-,4,62,-,-,-,-,-,2,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-
"50,000 to 99,999...................................................................",7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 or more....................................................................",23,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,6,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,2,-,-
"Pullets for laying flock replacement                              farms, 2022",821,18,16,1,1,1,8,4,4,3,18,8,7,7,10,3,2,14,10,11,64,1,8,-,16,3,4,3,13,10,5,20,22,2,4,3,4,10,13,16,21,6,-,14,81,10,6,15,12,7,13,-,-,11,12,15,-,36,1,10,12,18,5,-,10,8,2,3,5,13,5,14,3,2,2,-,1,3,3,5,5,4,4,4,8,8,1,6,8,2,4,7,9
2017,740,13,3,6,10,2,16,14,12,8,17,2,4,4,18,10,3,4,-,9,56,4,2,2,8,2,-,12,13,7,5,18,11,6,1,1,9,9,13,4,5,2,12,10,65,5,2,12,5,6,12,-,-,14,3,19,-,25,-,2,18,5,6,2,8,-,4,20,4,17,3,9,8,14,4,1,1,1,9,15,1,-,1,2,3,5,7,6,11,7,6,2,3
"number, 2022","10,859,772","179,313",(D),(D),(D),(D),123,234,135,21,345,73,165,70,385,48,(D),262,151,"1,281,280","495,420",(D),88,-,218,75,(D),18,404,124,290,325,652,(D),64,(D),(D),(D),(D),161,405,95,-,(D),"673,799",102,98,499,444,86,"200,345",-,-,191,168,262,-,"80,341",(D),(D),114,329,98,-,"2,465",58,(D),48,"120,020",244,40,739,60,(D),(D),-,(D),32,48,480,73,20,40,38,374,(D),(D),68,146,(D),(D),120,91
2017,"11,872,429",(D),15,77,195,(D),336,226,123,32,505,(D),20,59,"1,583",146,32,94,-,"1,166,147","607,977",92,(D),(D),117,(D),-,(D),119,308,50,(D),730,44,(D),(D),(D),180,"1,625,432",89,43,(D),208,"2,010,858","247,813",245,(D),125,200,147,280,-,-,521,96,346,-,"90,710",-,(D),235,(D),79,(D),"1,230",-,(D),192,44,317,36,227,60,"1,058",136,(D),(D),(D),"1,022",671,(D),-,(D),(D),325,"221,434",315,90,238,166,"206,090",(D),62
"Broilers and other meat-type chickens                         farms, 2022","1,063",26,42,9,-,-,4,8,12,4,12,3,5,6,67,10,2,8,12,5,106,4,13,3,7,17,7,6,27,1,14,14,11,15,5,6,1,3,11,16,9,2,3,26,161,2,4,5,4,3,33,-,-,12,13,5,-,51,-,9,11,15,4,-,10,-,3,3,2,9,-,11,-,4,2,4,2,-,5,8,6,6,7,6,1,2,2,3,28,29,9,1,6
2017,916,22,19,3,8,-,8,2,6,12,8,2,2,6,12,10,8,11,9,1,73,6,-,2,7,5,-,3,10,2,10,8,11,3,9,13,6,11,3,10,17,7,9,18,148,1,5,6,9,10,20,-,4,15,2,12,3,22,3,15,19,14,5,-,9,4,4,20,17,16,3,11,9,3,3,1,-,4,4,8,1,-,1,3,6,1,9,3,35,23,5,1,7
"number, 2022","8,174,313","1,193",(D),"2,308",-,-,64,170,510,112,(D),45,26,24,"5,099",648,(D),564,338,"1,423","1,625,423",42,784,3,123,"1,551","1,140",168,"2,786",(D),"31,657","590,940",480,536,103,120,(D),64,(D),396,241,(D),52,"592,439","2,119,776",(D),160,126,34,6,"314,994",-,-,620,610,194,-,"368,709",-,(D),156,620,111,-,191,-,150,78,(D),338,-,820,-,390,(D),112,(D),-,175,52,600,112,(D),121,(D),(D),(D),(D),"2,086,538","5,640","1,410",(D),(D)
2017,"6,795,856","19,308","70,355",105,470,-,"1,400",(D),229,204,(D),(D),(D),185,949,196,"1,072",234,285,(D),"1,187,161",460,-,(D),741,205,-,50,"4,900",(D),190,(D),284,106,302,338,"2,118",380,604,67,"3,250",96,300,"478,694","1,232,615",(D),100,382,149,"1,585","177,823",-,16,186,(D),155,219,"177,508",9,"296,636",221,382,46,-,254,152,274,"1,190",(D),"3,878",9,169,600,175,110,(D),-,"19,550",42,222,(D),-,(D),186,210,(D),150,53,"2,658,737","1,890",(D),(D),420
