Item,Washington,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Wahkiakum,Walla Walla,Whatcom,Whitman,Yakima
"poultry                                                                              farms, 2022","1,999",4,11,60,13,40,135,4,22,14,13,17,5,11,48,41,11,147,87,20,28,138,12,49,56,22,8,170,22,68,3,166,130,65,101,5,39,64,37,113
2017,"2,118",19,6,82,20,53,135,4,22,8,19,11,7,22,51,45,27,151,105,31,39,118,11,20,34,18,10,161,30,69,5,168,164,79,97,8,39,98,28,104
NUMBER SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any poultry sold                                                                    farms, 2022","3,334",11,15,117,21,59,286,13,44,19,22,38,4,34,50,72,24,245,151,56,62,205,11,55,80,19,15,206,47,109,12,227,274,95,167,13,65,212,50,129
2017,"3,662",27,27,106,30,76,330,18,57,13,19,31,13,58,62,63,34,283,158,81,77,199,12,36,76,17,35,243,65,118,23,223,300,85,176,31,60,162,42,196
"Layers sold                                                                        farms, 2022",750,2,1,42,6,16,78,2,17,1,-,6,2,6,8,5,5,57,42,9,11,30,4,12,19,2,2,47,9,17,-,76,65,24,40,1,13,48,11,14
2017,895,8,6,26,-,13,79,2,4,7,2,4,-,5,24,14,10,94,56,9,14,49,3,7,11,1,4,71,15,17,1,50,75,25,56,6,12,50,8,57
"number, 2022","3,083,769",(D),(D),696,240,"1,073","1,596",(D),410,(D),-,(D),(D),(D),143,26,649,"5,750","1,449",508,590,488,(D),"1,980",735,(D),(D),"8,623",(D),323,-,"7,336","2,684","1,251","554,553",(D),525,"10,835",43,(D)
2017,"2,453,143",(D),18,"1,034",-,209,"13,591",(D),(D),116,(D),(D),-,(D),183,157,557,"4,246","2,522",99,"6,497",946,(D),300,66,(D),64,"1,628",171,457,(D),"3,630","2,036",745,(D),20,577,"1,493",453,(D)
"Pullets for laying flock replacement sold                      farms, 2022",98,1,-,-,-,-,2,3,3,-,1,6,-,1,-,2,-,6,3,4,-,7,-,-,2,-,-,9,-,2,-,14,10,4,8,-,-,2,-,8
2017,121,2,-,7,-,-,9,-,1,3,-,-,-,1,1,-,6,12,9,6,3,7,-,-,-,-,-,13,-,4,-,13,14,1,4,3,-,2,-,-
"number, 2022","1,116,451",(D),-,-,-,-,(D),24,(D),-,(D),(D),-,(D),-,(D),-,"10,070",60,80,-,78,-,-,(D),-,-,340,-,(D),-,93,119,55,638,-,-,(D),-,(D)
