Item,New Mexico,Bernalillo,Catron,Chaves,Cibola,Colfax,Curry,De Baca,Dona Ana,Eddy,Grant,Guadalupe,Harding,Hidalgo,Lea,Lincoln,Los Alamos,Luna,McKinley,Mora,Otero,Quay,Rio Arriba,Roosevelt,Sandoval,San Juan,San Miguel,Santa Fe,Sierra,Socorro,Taos,Torrance,Union,Valencia
"number, 2022","43,176",(D),-,98,222,-,15,(D),"3,065",130,59,-,-,-,75,45,-,105,47,(D),82,-,201,(D),77,548,22,78,(D),306,-,54,-,321
2017,"52,046","5,285",86,266,172,120,270,(D),385,291,57,-,-,(D),44,124,-,-,99,(D),108,-,773,(D),276,365,18,36,51,204,212,(D),-,113
"Pullets for laying flock replacement sold                      farms, 2022",29,11,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,3,1,4,-,3,-,3,-,-,-,-
2017,44,4,-,-,8,-,-,-,-,2,1,-,-,-,-,-,-,-,-,6,2,-,8,2,3,-,-,-,-,5,-,-,-,3
"number, 2022",(D),38,-,-,(D),-,-,(D),-,(D),-,-,-,-,-,-,-,(D),-,-,-,-,-,310,(D),12,-,90,-,72,-,-,-,-
2017,"1,916",56,-,-,278,-,-,-,-,(D),(D),-,-,-,-,-,-,-,-,204,(D),-,64,(D),(D),-,-,-,-,299,-,-,-,34
"Broilers and other meat-type chickens sold                farms, 2022",77,18,-,3,3,-,1,-,5,4,-,-,-,1,5,-,-,-,-,-,5,2,8,1,3,6,2,8,2,-,-,-,-,-
2017,65,10,-,10,2,-,2,-,2,3,-,-,-,-,-,-,-,-,-,-,5,1,1,-,1,4,-,16,2,2,-,2,-,2
"number, 2022","3,955",547,-,(D),(D),-,(D),-,(D),350,-,-,-,(D),74,-,-,-,-,-,54,(D),466,(D),3,115,(D),156,(D),-,-,-,-,-
2017,"4,144",360,-,205,(D),-,(D),-,(D),180,-,-,-,-,-,-,-,-,-,-,455,(D),(D),-,(D),(D),-,343,(D),(D),-,(D),-,(D)
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",77,18,-,3,3,-,1,-,5,4,-,-,-,1,5,-,-,-,-,-,5,2,8,1,3,6,2,8,2,-,-,-,-,-
"2,000 to 59,999.....................................................................",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
