"","GID_2","value"
"228","USA.10.5_1",94
"229","USA.10.6_1",81
"230","USA.10.7_1",40
"231","USA.10.8_1",37
"232","USA.10.9_1",153
"233","USA.10.10_1",95
"234","USA.10.11_1",41
"235","USA.10.12_1",176
"236","USA.10.13_1",58
"237","USA.10.14_1",30
"238","USA.10.15_1",56
"239","USA.10.16_1",67
"240","USA.10.17_1",14
"241","USA.10.18_1",9
"242","USA.10.19_1",73
"243","USA.10.20_1",93
"244","USA.10.21_1",27
"245","USA.10.22_1",3
"246","USA.10.23_1",38
"247","USA.10.24_1",70
"248","USA.10.25_1",19
"249","USA.10.26_1",175
"250","USA.10.27_1",96
"251","USA.10.28_1",270
"252","USA.10.29_1",95
"253","USA.10.30_1",64
"254","USA.10.31_1",96
"255","USA.10.32_1",88
"256","USA.10.33_1",37
"257","USA.10.34_1",243
"258","USA.10.35_1",146
"259","USA.10.36_1",70
"260","USA.10.37_1",121
"261","USA.10.38_1",33
"262","USA.10.39_1",71
"263","USA.10.40_1",98
"264","USA.10.41_1",523
"265","USA.10.42_1",106
"266","USA.10.43_1",283
"267","USA.10.44_1",0
"268","USA.10.45_1",91
"269","USA.10.46_1",74
"270","USA.10.47_1",47
"271","USA.10.48_1",80
"272","USA.10.49_1",47
"273","USA.10.50_1",176
"274","USA.10.51_1",201
"275","USA.10.52_1",14
"276","USA.10.53_1",192
"277","USA.10.54_1",87
"278","USA.10.55_1",27
"279","USA.10.56_1",74
"280","USA.10.57_1",175
"281","USA.10.58_1",46
"282","USA.10.59_1",66
"283","USA.10.60_1",176
"284","USA.10.61_1",195
"285","USA.10.62_1",37
"286","USA.10.63_1",69
"287","USA.10.64_1",262
"288","USA.10.65_1",64
"289","USA.10.66_1",167
"290","USA.10.67_1",98
"291","USA.11.1_1",93
"292","USA.11.2_1",29
"293","USA.11.3_1",38
"294","USA.11.4_1",10
"295","USA.11.5_1",7
"296","USA.11.6_1",152
"297","USA.11.7_1",53
"298","USA.11.8_1",98
"299","USA.11.9_1",35
"300","USA.11.10_1",33
"301","USA.11.11_1",20
"302","USA.11.12_1",9
"303","USA.11.13_1",29
"304","USA.11.14_1",36
"305","USA.11.15_1",21
"306","USA.11.16_1",68
"307","USA.11.17_1",44
"308","USA.11.18_1",29
"309","USA.11.19_1",7
"310","USA.11.20_1",27
"311","USA.11.21_1",35
"312","USA.11.22_1",178
"313","USA.11.23_1",49
"314","USA.11.24_1",18
"315","USA.11.25_1",8
"316","USA.11.26_1",2
"317","USA.11.27_1",29
"318","USA.11.28_1",49
"319","USA.11.29_1",14
"320","USA.11.30_1",2
"321","USA.11.31_1",5
"322","USA.11.32_1",1
"323","USA.11.33_1",30
"324","USA.11.34_1",88
"325","USA.11.35_1",59
"326","USA.11.36_1",62
"327","USA.11.37_1",28
"328","USA.11.38_1",62
"329","USA.11.39_1",54
"330","USA.11.40_1",8
