"","GID_2","value"
"991","USA.24.29_1",46
"992","USA.24.30_1",199
"993","USA.24.31_1",94
"994","USA.24.32_1",32
"995","USA.24.33_1",129
"996","USA.24.34_1",115
"997","USA.24.35_1",12
"998","USA.24.36_1",37
"999","USA.24.37_1",31
"1000","USA.24.38_1",17
"1001","USA.24.39_1",21
"1002","USA.24.40_1",0
"1003","USA.24.41_1",79
"1004","USA.24.42_1",10
"1005","USA.24.43_1",40
"1006","USA.24.44_1",11
"1007","USA.24.45_1",27
"1008","USA.24.46_1",38
"1009","USA.24.47_1",93
"1010","USA.24.48_1",89
"1011","USA.24.49_1",123
"1012","USA.24.50_1",288
"1013","USA.24.51_1",94
"1014","USA.24.52_1",24
"1015","USA.24.53_1",43
"1016","USA.24.54_1",56
"1017","USA.24.55_1",21
"1018","USA.24.56_1",116
"1019","USA.24.57_1",221
"1020","USA.24.58_1",14
"1021","USA.24.59_1",162
"1022","USA.24.60_1",30
"1023","USA.24.61_1",63
"1024","USA.24.62_1",55
"1025","USA.24.63_1",0
"1026","USA.24.64_1",5
"1027","USA.24.65_1",66
"1028","USA.24.66_1",43
"1029","USA.24.67_1",153
"1030","USA.24.68_1",31
"1031","USA.24.69_1",56
"1032","USA.24.70_1",225
"1033","USA.24.71_1",135
"1034","USA.24.72_1",130
"1035","USA.24.73_1",76
"1036","USA.24.74_1",376
"1037","USA.24.75_1",70
"1038","USA.24.76_1",22
"1039","USA.24.77_1",31
"1040","USA.24.78_1",259
"1041","USA.24.79_1",2
"1042","USA.24.80_1",56
"1043","USA.24.81_1",69
"1044","USA.24.82_1",59
"1045","USA.24.83_1",73
"1046","USA.24.84_1",37
"1047","USA.24.85_1",12
"1048","USA.24.86_1",117
"1049","USA.24.87_1",222
"1050","USA.24.88_1",41
"1051","USA.25.1_1",10
"1052","USA.25.2_1",39
"1053","USA.25.3_1",49
"1054","USA.25.4_1",46
"1055","USA.25.5_1",24
"1056","USA.25.6_1",0
"1057","USA.25.7_1",23
"1058","USA.25.8_1",41
"1059","USA.25.9_1",34
"1060","USA.25.10_1",17
"1061","USA.25.11_1",5
"1062","USA.25.12_1",52
"1063","USA.25.13_1",25
"1064","USA.25.14_1",3
"1065","USA.25.15_1",82
"1066","USA.25.16_1",78
"1067","USA.25.17_1",52
"1068","USA.25.18_1",74
"1069","USA.25.19_1",15
"1070","USA.25.20_1",81
"1071","USA.25.21_1",95
"1072","USA.25.22_1",22
"1073","USA.25.23_1",58
"1074","USA.25.24_1",87
"1075","USA.25.25_1",79
"1076","USA.25.26_1",29
"1077","USA.25.27_1",0
"1078","USA.25.28_1",1
"1079","USA.25.29_1",25
"1080","USA.25.30_1",111
"1081","USA.25.31_1",94
"1082","USA.25.32_1",19
"1083","USA.25.33_1",59
"1084","USA.25.34_1",161
"1085","USA.25.35_1",28
"1086","USA.25.36_1",30
"1087","USA.25.37_1",92
"1088","USA.25.38_1",37
"1089","USA.25.39_1",74
"1090","USA.25.40_1",101
"1091","USA.25.41_1",37
"1092","USA.25.42_1",6
"1093","USA.25.43_1",109
"1094","USA.25.44_1",37
"1095","USA.25.45_1",51
"1096","USA.25.46_1",87
"1097","USA.25.47_1",47
"1098","USA.25.48_1",50
"1099","USA.25.49_1",16
"1100","USA.25.50_1",122
"1101","USA.25.51_1",113
"1102","USA.25.52_1",30
"1103","USA.25.53_1",37
"1104","USA.25.54_1",21
"1105","USA.25.55_1",122
"1106","USA.25.56_1",74
"1107","USA.25.57_1",89
"1108","USA.25.58_1",79
"1109","USA.25.59_1",34
"1110","USA.25.60_1",0
"1111","USA.25.61_1",114
"1112","USA.25.62_1",104
"1113","USA.25.63_1",3
"1114","USA.25.64_1",94
"1115","USA.25.65_1",119
"1116","USA.25.66_1",58
"1117","USA.25.67_1",13
"1118","USA.25.68_1",13
"1119","USA.25.69_1",50
"1120","USA.25.70_1",50
"1121","USA.25.71_1",14
"1122","USA.25.72_1",1
"1123","USA.25.73_1",30
"1124","USA.25.74_1",93
"1125","USA.25.75_1",21
"1126","USA.25.76_1",15
"1127","USA.25.77_1",124
"1128","USA.25.78_1",23
"1129","USA.25.79_1",15
"1130","USA.25.80_1",64
"1131","USA.25.81_1",33
"1132","USA.25.82_1",19
"1133","USA.26.1_1",90
"1134","USA.26.2_1",55
"1135","USA.26.3_1",15
"1136","USA.26.4_1",117
"1137","USA.26.5_1",281
"1138","USA.26.6_1",71
"1139","USA.26.7_1",96
"1140","USA.26.8_1",98
"1141","USA.26.9_1",94
"1142","USA.26.10_1",182
"1143","USA.26.11_1",50
"1144","USA.26.12_1",59
"1145","USA.26.13_1",88
"1146","USA.26.14_1",125
"1147","USA.26.15_1",85
"1148","USA.26.16_1",74
"1149","USA.26.17_1",39
"1150","USA.26.18_1",22
"1151","USA.26.19_1",203
"1152","USA.26.20_1",128
"1153","USA.26.21_1",40
"1154","USA.26.22_1",153
"1155","USA.26.23_1",18
"1156","USA.26.24_1",79
"1157","USA.26.25_1",72
"1158","USA.26.26_1",91
"1159","USA.26.27_1",56
"1160","USA.26.28_1",109
"1161","USA.26.29_1",63
"1162","USA.26.30_1",173
"1163","USA.26.31_1",84
"1164","USA.26.32_1",65
"1165","USA.26.33_1",90
"1166","USA.26.34_1",142
"1167","USA.26.35_1",12
"1168","USA.26.36_1",261
"1169","USA.26.37_1",81
"1170","USA.26.38_1",60
"1171","USA.26.39_1",326
"1172","USA.26.40_1",35
"1173","USA.26.41_1",59
"1174","USA.26.42_1",77
"1175","USA.26.43_1",57
"1176","USA.26.44_1",5
"1177","USA.26.45_1",33
"1178","USA.26.46_1",207
"1179","USA.26.47_1",55
"1180","USA.26.48_1",110
"1181","USA.26.49_1",180
"1182","USA.26.50_1",148
"1183","USA.26.51_1",196
"1184","USA.26.52_1",37
"1185","USA.26.53_1",177
"1186","USA.26.54_1",115
"1187","USA.26.55_1",196
"1188","USA.26.56_1",41
"1189","USA.26.57_1",129
"1190","USA.26.58_1",45
"1191","USA.26.59_1",38
"1192","USA.26.60_1",97
"1193","USA.26.61_1",37
"1194","USA.26.62_1",75
"1195","USA.26.63_1",49
"1196","USA.26.64_1",187
"1197","USA.26.65_1",32
"1198","USA.26.66_1",131
"1199","USA.26.67_1",0
"1200","USA.26.68_1",141
"1201","USA.26.69_1",74
"1202","USA.26.70_1",57
"1203","USA.26.71_1",232
"1204","USA.26.72_1",1
"1205","USA.26.73_1",293
"1206","USA.26.74_1",67
"1207","USA.26.75_1",73
"1208","USA.26.76_1",83
"1209","USA.26.77_1",73
"1210","USA.26.78_1",8
"1211","USA.26.79_1",43
"1212","USA.26.80_1",137
"1213","USA.26.81_1",128
"1214","USA.26.82_1",51
"1215","USA.26.83_1",61
"1216","USA.26.84_1",188
"1217","USA.26.85_1",60
"1218","USA.26.86_1",40
"1219","USA.26.87_1",37
"1220","USA.26.88_1",71
"1221","USA.26.89_1",99
"1222","USA.26.90_1",51
"1223","USA.26.91_1",83
"1224","USA.26.92_1",44
"1225","USA.26.93_1",101
"1226","USA.26.94_1",99
"1227","USA.26.95_1",104
"1228","USA.26.96_1",25
"1229","USA.26.97_1",29
"1230","USA.26.98_1",28
"1231","USA.26.99_1",68
"1232","USA.26.100_1",34
"1233","USA.26.101_1",60
"1234","USA.26.102_1",21
"1235","USA.26.103_1",75
"1236","USA.26.104_1",87
"1237","USA.26.105_1",28
"1238","USA.26.106_1",99
"1239","USA.26.107_1",231
"1240","USA.26.108_1",161
"1241","USA.26.109_1",73
"1242","USA.26.110_1",63
"1243","USA.26.111_1",31
"1244","USA.26.112_1",329
"1245","USA.26.113_1",19
"1246","USA.26.114_1",136
"1247","USA.27.1_1",27
"1248","USA.27.2_1",26
"1249","USA.27.3_1",20
"1250","USA.27.4_1",48
"1251","USA.27.5_1",77
"1252","USA.27.6_1",13
"1253","USA.27.7_1",118
"1254","USA.27.8_1",24
"1255","USA.27.9_1",54
"1256","USA.27.10_1",5
"1257","USA.27.11_1",13
"1258","USA.27.12_1",10
"1259","USA.27.13_1",20
"1260","USA.27.14_1",58
"1261","USA.27.15_1",167
"1262","USA.27.16_1",148
"1263","USA.27.17_1",19
"1264","USA.27.18_1",22
"1265","USA.27.19_1",13
"1266","USA.27.20_1",12
"1267","USA.27.21_1",31
"1268","USA.27.22_1",52
"1269","USA.27.23_1",19
"1270","USA.27.24_1",134
"1271","USA.27.25_1",89
"1272","USA.27.26_1",10
"1273","USA.27.27_1",57
"1274","USA.27.28_1",44
"1275","USA.27.29_1",9
"1276","USA.27.30_1",15
"1277","USA.27.31_1",11
"1278","USA.27.32_1",116
"1279","USA.27.33_1",46
"1280","USA.27.34_1",57
"1281","USA.27.35_1",3
"1282","USA.27.36_1",14
"1283","USA.27.37_1",23
"1284","USA.27.38_1",42
"1285","USA.27.39_1",34
"1286","USA.27.40_1",2
"1287","USA.27.41_1",243
"1288","USA.27.42_1",35
"1289","USA.27.43_1",17
"1290","USA.27.44_1",27
"1291","USA.27.45_1",98
"1292","USA.27.46_1",15
"1293","USA.27.47_1",23
"1294","USA.27.48_1",46
"1295","USA.27.49_1",27
"1296","USA.27.50_1",47
"1297","USA.27.51_1",18
"1298","USA.27.52_1",5
"1299","USA.27.53_1",40
"1300","USA.27.54_1",16
"1301","USA.27.55_1",11
"1302","USA.27.56_1",164
"1303","USA.28.1_1",24
"1304","USA.28.2_1",43
"1305","USA.28.3_1",6
"1306","USA.28.4_1",8
"1307","USA.28.5_1",7
"1308","USA.28.6_1",10
"1309","USA.28.7_1",31
"1310","USA.28.8_1",9
"1311","USA.28.9_1",23
"1312","USA.28.10_1",75
"1313","USA.28.11_1",38
"1314","USA.28.12_1",75
"1315","USA.28.13_1",50
"1316","USA.28.14_1",41
"1317","USA.28.15_1",16
"1318","USA.28.16_1",41
"1319","USA.28.17_1",47
"1320","USA.28.18_1",30
"1321","USA.28.19_1",16
"1322","USA.28.20_1",57
"1323","USA.28.21_1",70
"1324","USA.28.22_1",24
"1325","USA.28.23_1",54
"1326","USA.28.24_1",27
"1327","USA.28.25_1",15
"1328","USA.28.26_1",19
"1329","USA.28.27_1",48
"1330","USA.28.28_1",50
"1331","USA.28.29_1",9
"1332","USA.28.30_1",2
"1333","USA.28.31_1",19
"1334","USA.28.32_1",16
"1335","USA.28.33_1",15
"1336","USA.28.34_1",64
"1337","USA.28.35_1",10
"1338","USA.28.36_1",10
"1339","USA.28.37_1",11
"1340","USA.28.38_1",2
"1341","USA.28.39_1",11
"1342","USA.28.40_1",39
"1343","USA.28.41_1",35
"1344","USA.28.42_1",14
"1345","USA.28.43_1",8
"1346","USA.28.44_1",12
"1347","USA.28.45_1",60
"1348","USA.28.46_1",3
"1349","USA.28.47_1",64
"1350","USA.28.48_1",32
"1351","USA.28.49_1",12
"1352","USA.28.50_1",27
"1353","USA.28.51_1",12
"1354","USA.28.52_1",5
"1355","USA.28.53_1",30
"1356","USA.28.54_1",49
"1357","USA.28.55_1",214
"1358","USA.28.56_1",69
"1359","USA.28.57_1",15
"1360","USA.28.58_1",5
"1361","USA.28.59_1",64
"1362","USA.28.60_1",3
"1363","USA.28.61_1",26
"1364","USA.28.62_1",38
"1365","USA.28.63_1",13
"1366","USA.28.64_1",19
"1367","USA.28.65_1",23
"1368","USA.28.66_1",72
"1369","USA.28.67_1",16
"1370","USA.28.68_1",11
"1371","USA.28.69_1",17
"1372","USA.28.70_1",29
"1373","USA.28.71_1",44
"1374","USA.28.72_1",28
"1375","USA.28.73_1",24
"1376","USA.28.74_1",28
"1377","USA.28.75_1",16
"1378","USA.28.76_1",45
"1379","USA.28.77_1",61
"1380","USA.28.78_1",65
"1381","USA.28.79_1",84
"1382","USA.28.80_1",85
"1383","USA.28.81_1",35
"1384","USA.28.82_1",26
"1385","USA.28.83_1",26
"1386","USA.28.84_1",38
"1387","USA.28.85_1",24
"1388","USA.28.86_1",10
"1389","USA.28.87_1",18
"1390","USA.28.88_1",8
"1391","USA.28.89_1",70
"1392","USA.28.90_1",18
"1393","USA.28.91_1",14
"1394","USA.28.92_1",10
"1395","USA.28.93_1",31
"1396","USA.29.1_1",36
"1397","USA.29.2_1",84
"1398","USA.29.3_1",30
"1399","USA.29.4_1",47
"1400","USA.29.5_1",81
"1401","USA.29.6_1",3
"1402","USA.29.7_1",9
"1403","USA.29.8_1",43
"1404","USA.29.9_1",7
"1405","USA.29.10_1",19
"1406","USA.29.11_1",56
"1407","USA.29.12_1",5
"1408","USA.29.13_1",34
"1409","USA.29.14_1",24
"1410","USA.29.15_1",2
"1411","USA.29.16_1",71
"1412","USA.29.17_1",3
"1413","USA.31.1_1",96
"1414","USA.31.2_1",11
"1415","USA.31.3_1",200
"1416","USA.31.4_1",22
"1417","USA.31.5_1",29
"1418","USA.31.6_1",87
"1419","USA.31.7_1",0
"1420","USA.31.8_1",106
"1421","USA.31.9_1",0
"1422","USA.31.10_1",465
"1423","USA.31.11_1",66
"1424","USA.31.12_1",42
"1425","USA.31.13_1",293
"1426","USA.31.14_1",126
"1427","USA.31.15_1",58
"1428","USA.31.16_1",48
"1429","USA.31.17_1",179
"1430","USA.31.18_1",101
"1431","USA.31.19_1",295
"1432","USA.31.20_1",1
"1433","USA.31.21_1",233
"1434","USA.32.1_1",273
"1435","USA.32.2_1",40
"1436","USA.32.3_1",69
"1437","USA.32.4_1",94
"1438","USA.32.5_1",29
"1439","USA.32.6_1",25
"1440","USA.32.7_1",24
"1441","USA.32.8_1",155
"1442","USA.32.9_1",29
"1443","USA.32.10_1",42
"1444","USA.32.11_1",10
"1445","USA.32.12_1",13
"1446","USA.32.13_1",24
"1447","USA.32.14_1",78
"1448","USA.32.15_1",62
"1449","USA.32.16_1",2
"1450","USA.32.17_1",16
"1451","USA.32.18_1",269
"1452","USA.32.19_1",36
"1453","USA.32.20_1",68
"1454","USA.32.21_1",59
"1455","USA.32.22_1",162
"1456","USA.32.23_1",44
"1457","USA.32.24_1",493
"1458","USA.32.25_1",98
"1459","USA.32.26_1",127
"1460","USA.32.27_1",130
"1461","USA.32.28_1",37
"1462","USA.32.29_1",55
"1463","USA.32.30_1",83
"1464","USA.32.31_1",80
"1465","USA.32.32_1",13
"1466","USA.32.33_1",176
"1467","USA.33.1_1",117
"1468","USA.33.2_1",149
"1469","USA.33.3_1",1
"1470","USA.33.4_1",95
"1471","USA.33.5_1",159
"1472","USA.33.6_1",107
"1473","USA.33.7_1",204
"1474","USA.33.8_1",55
"1475","USA.33.9_1",119
"1476","USA.33.10_1",139
"1477","USA.33.11_1",105
"1478","USA.33.12_1",73
"1479","USA.33.13_1",138
"1480","USA.33.14_1",166
"1481","USA.33.15_1",180
"1482","USA.33.16_1",80
"1483","USA.33.17_1",100
"1484","USA.33.18_1",37
"1485","USA.33.19_1",71
"1486","USA.33.20_1",60
"1487","USA.33.21_1",4
"1488","USA.33.22_1",102
"1489","USA.33.23_1",133
"1490","USA.33.24_1",0
"1491","USA.33.25_1",0
"1492","USA.33.26_1",79
"1493","USA.33.27_1",102
"1494","USA.33.28_1",113
"1495","USA.33.29_1",81
"1496","USA.33.30_1",139
"1497","USA.33.31_1",4
"1498","USA.33.32_1",6
"1499","USA.33.33_1",113
"1500","USA.33.34_1",219
"1501","USA.33.35_1",85
"1502","USA.33.36_1",117
"1503","USA.33.37_1",151
"1504","USA.33.38_1",74
"1505","USA.33.39_1",140
"1506","USA.33.40_1",199
"1507","USA.33.41_1",27
"1508","USA.33.42_1",3
"1509","USA.33.43_1",138
"1510","USA.33.44_1",0
"1511","USA.33.45_1",3
"1512","USA.33.46_1",217
"1513","USA.33.47_1",152
"1514","USA.33.48_1",36
"1515","USA.33.49_1",132
"1516","USA.33.50_1",85
"1517","USA.33.51_1",52
"1518","USA.33.52_1",225
"1519","USA.33.53_1",81
"1520","USA.33.54_1",137
"1521","USA.33.55_1",92
"1522","USA.33.56_1",75
"1523","USA.33.57_1",95
"1524","USA.33.58_1",32
"1525","USA.33.59_1",160
"1526","USA.33.60_1",138
"1527","USA.33.61_1",22
"1528","USA.33.62_1",78
"1529","USA.33.63_1",190
"1530","USA.34.1_1",104
"1531","USA.34.2_1",187
"1532","USA.34.3_1",29
"1533","USA.34.4_1",121
"1534","USA.34.5_1",69
"1535","USA.34.6_1",29
"1536","USA.34.7_1",18
"1537","USA.34.8_1",76
"1538","USA.34.9_1",77
"1539","USA.34.10_1",38
"1540","USA.34.11_1",176
"1541","USA.34.12_1",112
"1542","USA.34.13_1",123
"1543","USA.34.14_1",109
"1544","USA.34.15_1",19
"1545","USA.34.16_1",9
"1546","USA.34.17_1",54
"1547","USA.34.18_1",130
"1548","USA.34.19_1",252
"1549","USA.34.20_1",46
"1550","USA.34.21_1",7
"1551","USA.34.22_1",21
"1552","USA.34.23_1",188
"1553","USA.34.24_1",49
"1554","USA.34.25_1",43
"1555","USA.34.26_1",82
"1556","USA.34.27_1",28
"1557","USA.34.28_1",5
"1558","USA.34.29_1",136
"1559","USA.34.30_1",63
"1560","USA.34.31_1",211
"1561","USA.34.32_1",59
"1562","USA.34.33_1",44
"1563","USA.34.34_1",86
"1564","USA.34.35_1",113
"1565","USA.34.36_1",86
"1566","USA.34.37_1",33
"1567","USA.34.38_1",18
"1568","USA.34.39_1",72
"1569","USA.34.40_1",33
"1570","USA.34.41_1",97
"1571","USA.34.42_1",21
"1572","USA.34.43_1",120
"1573","USA.34.44_1",111
"1574","USA.34.45_1",85
"1575","USA.34.46_1",10
"1576","USA.34.47_1",39
"1577","USA.34.48_1",1
"1578","USA.34.49_1",166
"1579","USA.34.50_1",34
"1580","USA.34.51_1",153
"1581","USA.34.52_1",27
"1582","USA.34.53_1",64
"1583","USA.34.54_1",61
"1584","USA.34.55_1",98
"1585","USA.34.56_1",75
"1586","USA.34.57_1",110
"1587","USA.34.58_1",15
"1588","USA.34.59_1",61
"1589","USA.34.60_1",32
"1590","USA.34.61_1",56
"1591","USA.34.62_1",69
"1592","USA.34.63_1",202
"1593","USA.34.64_1",51
"1594","USA.34.65_1",17
"1595","USA.34.66_1",24
"1596","USA.34.67_1",98
"1597","USA.34.68_1",147
"1598","USA.34.69_1",9
"1599","USA.34.70_1",8
"1600","USA.34.71_1",91
"1601","USA.34.72_1",17
"1602","USA.34.73_1",57
"1603","USA.34.74_1",56
"1604","USA.34.75_1",36
"1605","USA.34.76_1",293
"1606","USA.34.77_1",107
"1607","USA.34.78_1",115
"1608","USA.34.79_1",117
"1609","USA.34.80_1",150
"1610","USA.34.81_1",145
"1611","USA.34.82_1",206
"1612","USA.34.83_1",38
"1613","USA.34.84_1",95
"1614","USA.34.85_1",96
"1615","USA.34.86_1",208
"1616","USA.34.87_1",16
"1617","USA.34.88_1",27
"1618","USA.34.89_1",1
"1619","USA.34.90_1",210
"1620","USA.34.91_1",30
"1621","USA.34.92_1",135
"1622","USA.34.93_1",17
"1623","USA.34.94_1",8
"1624","USA.34.95_1",51
"1625","USA.34.96_1",99
"1626","USA.34.97_1",184
"1627","USA.34.98_1",29
"1628","USA.34.99_1",157
"1629","USA.34.100_1",60
"1630","USA.35.1_1",11
"1631","USA.35.2_1",22
"1632","USA.35.3_1",11
"1633","USA.35.4_1",16
"1634","USA.35.5_1",22
"1635","USA.35.6_1",7
"1636","USA.35.7_1",11
"1637","USA.35.8_1",55
"1638","USA.35.9_1",14
"1639","USA.35.10_1",8
"1640","USA.35.11_1",17
"1641","USA.35.12_1",8
"1642","USA.35.13_1",11
"1643","USA.35.14_1",6
"1644","USA.35.15_1",9
"1645","USA.35.16_1",3
"1646","USA.35.17_1",21
"1647","USA.35.18_1",19
"1648","USA.35.19_1",7
"1649","USA.35.20_1",21
"1650","USA.35.21_1",9
"1651","USA.35.22_1",12
"1652","USA.35.23_1",23
"1653","USA.35.24_1",13
"1654","USA.35.25_1",21
"1655","USA.35.26_1",10
"1656","USA.35.27_1",21
"1657","USA.35.28_1",39
"1658","USA.35.29_1",12
"1659","USA.35.30_1",47
"1660","USA.35.31_1",26
"1661","USA.35.32_1",13
"1662","USA.35.33_1",14
"1663","USA.35.34_1",20
"1664","USA.35.35_1",8
"1665","USA.35.36_1",17
"1666","USA.35.37_1",13
"1667","USA.35.38_1",3
"1668","USA.35.39_1",36
"1669","USA.35.40_1",8
"1670","USA.35.41_1",5
"1671","USA.35.42_1",7
"1672","USA.35.43_1",7
"1673","USA.35.44_1",4
"1674","USA.35.45_1",44
"1675","USA.35.46_1",1
"1676","USA.35.47_1",28
"1677","USA.35.48_1",6
"1678","USA.35.49_1",29
"1679","USA.35.50_1",18
"1680","USA.35.51_1",36
"1681","USA.35.52_1",32
"1682","USA.35.53_1",21
"1683","USA.36.1_1",147
"1684","USA.36.2_1",67
"1685","USA.36.3_1",259
"1686","USA.36.4_1",251
"1687","USA.36.5_1",119
"1688","USA.36.6_1",62
"1689","USA.36.7_1",117
"1690","USA.36.8_1",138
"1691","USA.36.9_1",154
"1692","USA.36.10_1",126
"1693","USA.36.11_1",117
"1694","USA.36.12_1",136
"1695","USA.36.13_1",199
"1696","USA.36.14_1",114
"1697","USA.36.15_1",233
"1698","USA.36.16_1",244
"1699","USA.36.17_1",52
"1700","USA.36.18_1",25
"1701","USA.36.19_1",175
"1702","USA.36.20_1",82
"1703","USA.36.21_1",145
"1704","USA.36.22_1",32
"1705","USA.36.23_1",204
"1706","USA.36.24_1",45
"1707","USA.36.25_1",87
"1708","USA.36.26_1",54
"1709","USA.36.27_1",134
"1710","USA.36.28_1",275
"1711","USA.36.29_1",176
"1712","USA.36.30_1",138
"1713","USA.36.31_1",57
"1714","USA.36.32_1",58
"1715","USA.36.33_1",95
"1716","USA.36.34_1",74
"1717","USA.36.35_1",50
"1718","USA.36.36_1",168
"1719","USA.36.37_1",116
"1720","USA.36.38_1",563
"1721","USA.36.39_1",118
"1722","USA.36.40_1",73
"1723","USA.36.41_1",84
"1724","USA.36.42_1",269
"1725","USA.36.43_1",68
"1726","USA.36.44_1",0
"1727","USA.36.45_1",73
"1728","USA.36.46_1",282
"1729","USA.36.47_1",130
"1730","USA.36.48_1",186
"1731","USA.36.49_1",56
"1732","USA.36.50_1",72
"1733","USA.36.51_1",162
"1734","USA.36.52_1",43
"1735","USA.36.53_1",275
"1736","USA.36.54_1",88
"1737","USA.36.55_1",171
"1738","USA.36.56_1",162
"1739","USA.36.57_1",111
"1740","USA.36.58_1",138
"1741","USA.36.59_1",106
"1742","USA.36.60_1",172
"1743","USA.36.61_1",193
"1744","USA.36.62_1",101
"1745","USA.36.63_1",40
"1746","USA.36.64_1",38
"1747","USA.36.65_1",153
"1748","USA.36.66_1",71
"1749","USA.36.67_1",82
"1750","USA.36.68_1",208
"1751","USA.36.69_1",115
"1752","USA.36.70_1",50
"1753","USA.36.71_1",252
"1754","USA.36.72_1",131
"1755","USA.36.73_1",70
"1756","USA.36.74_1",91
"1757","USA.36.75_1",53
"1758","USA.36.76_1",84
"1759","USA.36.77_1",307
"1760","USA.36.78_1",116
"1761","USA.36.79_1",172
"1762","USA.36.80_1",281
"1763","USA.36.81_1",145
"1764","USA.36.82_1",29
"1765","USA.36.83_1",64
"1766","USA.36.84_1",174
"1767","USA.36.85_1",174
"1768","USA.36.86_1",450
"1769","USA.36.87_1",45
"1770","USA.36.88_1",65
"1771","USA.36.89_1",44
"1772","USA.37.1_1",168
"1773","USA.37.2_1",25
"1774","USA.37.3_1",154
"1775","USA.37.4_1",37
"1776","USA.37.5_1",107
"1777","USA.37.6_1",38
"1778","USA.37.7_1",158
"1779","USA.37.8_1",111
"1780","USA.37.9_1",242
"1781","USA.37.10_1",210
"1782","USA.37.11_1",230
"1783","USA.37.12_1",82
"1784","USA.37.13_1",20
"1785","USA.37.14_1",297
"1786","USA.37.15_1",55
"1787","USA.37.16_1",161
"1788","USA.37.17_1",34
"1789","USA.37.18_1",118
"1790","USA.37.19_1",493
"1791","USA.37.20_1",61
"1792","USA.37.21_1",205
"1793","USA.37.22_1",43
"1794","USA.37.23_1",42
"1795","USA.37.24_1",101
"1796","USA.37.25_1",218
"1797","USA.37.26_1",223
"1798","USA.37.27_1",41
"1799","USA.37.28_1",18
"1800","USA.37.29_1",11
"1801","USA.37.30_1",22
"1802","USA.37.31_1",113
"1803","USA.37.32_1",118
"1804","USA.37.33_1",59
"1805","USA.37.34_1",28
"1806","USA.37.35_1",119
"1807","USA.37.36_1",74
"1808","USA.37.37_1",71
"1809","USA.37.38_1",30
"1810","USA.37.39_1",112
"1811","USA.37.40_1",317
"1812","USA.37.41_1",524
"1813","USA.37.42_1",259
"1814","USA.37.43_1",72
"1815","USA.37.44_1",85
"1816","USA.37.45_1",79
"1817","USA.37.46_1",252
"1818","USA.37.47_1",213
"1819","USA.37.48_1",191
"1820","USA.37.49_1",95
"1821","USA.37.50_1",87
"1822","USA.37.51_1",269
"1823","USA.37.52_1",77
"1824","USA.37.53_1",88
"1825","USA.37.54_1",117
"1826","USA.37.55_1",276
"1827","USA.37.56_1",246
"1828","USA.37.57_1",212
"1829","USA.37.58_1",102
"1830","USA.37.59_1",102
"1831","USA.37.60_1",271
"1832","USA.37.61_1",218
"1833","USA.37.62_1",186
"1834","USA.37.63_1",375
"1835","USA.37.64_1",132
"1836","USA.37.65_1",39
"1837","USA.37.66_1",409
"1838","USA.37.67_1",172
"1839","USA.37.68_1",185
"1840","USA.37.69_1",182
"1841","USA.37.70_1",22
"1842","USA.37.71_1",17
"1843","USA.37.72_1",174
"1844","USA.37.73_1",226
"1845","USA.37.74_1",93
"1846","USA.37.75_1",60
"1847","USA.37.76_1",31
"1848","USA.37.77_1",124
"1849","USA.38.1_1",99
"1850","USA.38.2_1",276
"1851","USA.38.3_1",1161
"1852","USA.38.4_1",30
"1853","USA.38.5_1",193
"1854","USA.38.6_1",103
"1855","USA.38.7_1",113
"1856","USA.38.8_1",25
"1857","USA.38.9_1",430
"1858","USA.38.10_1",397
"1859","USA.38.11_1",8
"1860","USA.38.12_1",72
"1861","USA.38.13_1",70
"1862","USA.38.14_1",45
"1863","USA.38.15_1",610
"1864","USA.38.16_1",66
"1865","USA.38.17_1",184
"1866","USA.38.18_1",78
"1867","USA.38.19_1",42
"1868","USA.38.20_1",621
"1869","USA.38.21_1",87
"1870","USA.38.22_1",500
"1871","USA.38.23_1",117
"1872","USA.38.24_1",486
"1873","USA.38.25_1",37
"1874","USA.38.26_1",180
"1875","USA.38.27_1",257
"1876","USA.38.28_1",10
"1877","USA.38.29_1",48
"1878","USA.38.30_1",252
"1879","USA.38.31_1",183
"1880","USA.38.32_1",86
"1881","USA.38.33_1",58
"1882","USA.38.34_1",404
"1883","USA.38.35_1",19
"1884","USA.38.36_1",470
"1885","USA.39.1_1",204
"1886","USA.39.2_1",98
"1887","USA.39.3_1",124
"1888","USA.39.4_1",126
"1889","USA.39.5_1",193
"1890","USA.39.6_1",362
"1891","USA.39.7_1",92
"1892","USA.39.8_1",199
"1893","USA.39.9_1",254
"1894","USA.39.10_1",171
"1895","USA.39.11_1",64
"1896","USA.39.12_1",5
"1897","USA.39.13_1",28
"1898","USA.39.14_1",204
"1899","USA.39.15_1",341
"1900","USA.39.16_1",131
"1901","USA.39.17_1",88
"1902","USA.39.18_1",72
"1903","USA.39.19_1",114
"1904","USA.39.20_1",219
"1905","USA.39.21_1",244
"1906","USA.39.22_1",155
"1907","USA.39.23_1",12
"1908","USA.39.24_1",37
"1909","USA.39.25_1",162
"1910","USA.39.26_1",135
"1911","USA.39.27_1",16
"1912","USA.39.28_1",326
"1913","USA.39.29_1",77
"1914","USA.39.30_1",94
"1915","USA.39.31_1",120
"1916","USA.39.32_1",226
"1917","USA.39.33_1",72
"1918","USA.39.34_1",140
"1919","USA.39.35_1",36
"1920","USA.39.36_1",1319
"1921","USA.39.37_1",91
"1922","USA.39.38_1",256
"1923","USA.39.39_1",83
